Gene	baseMean	log2FoldChange	padj	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain	B_1_1	B_1_2	B_1_3	B_2_1	B_2_2	B_2_3	B_3_1	B_3_2	B_3_3	B_4_1	B_4_2	B_4_3	gene	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene_105287	212.052677347707	-6.30166273080079	5.88185935096217e-07	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Rosales	f__Rosaceae	g__Pyrus	s__Pyrus	Pyrus communis (taxid 23211)	0.0125044703818863	0	0	0.374345903048671	0.412429430464768	0.334734508355763	0.0374089541833649	0.119000755094133	0.0678389312304222	2.73613841659652	1.93914589067744	2.79229307064177	gene_105287	248742.XP_005651460.1	0.0	890.0	COG5023@1|root,KOG1376@2759|Eukaryota,37JG4@33090|Viridiplantae,34GYC@3041|Chlorophyta	3041|Chlorophyta	Z	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the	TUA1	GO:0005575,GO:0005622,GO:0005623,GO:0005856,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044464	-	ko:K07374	ko04145,ko04210,ko04530,ko04540,ko05130,map04145,map04210,map04530,map04540,map05130	-	-	-	ko00000,ko00001,ko03019,ko03036,ko04147,ko04812	-	-	-	-
gene_105288	405.088136246556	-12.571868316249	9.16455718648305e-21	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Malpighiales	f__Euphorbiaceae	g__Mercurialis	s__Mercurialis	Mercurialis annua (taxid 3986)	0	0	0	2.63318231010373	1.48802500593544	1.40490303088894	0	0	0	3.57136725794199	7.20900318520759	5.56762636762463	gene_105288	649831.L083_7527	1.04e-91	286.0	COG1744@1|root,COG1744@2|Bacteria,2GMFS@201174|Actinobacteria,4DAD7@85008|Micromonosporales	201174|Actinobacteria	S	basic membrane	-	-	-	ko:K07335	-	-	-	-	ko00000	-	-	-	-
gene_105684	40.8387021133166	-9.25510164950486	4.49171043088671e-10	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Fabales	f__Fabaceae	g__Lupinus	s__Lupinus	Lupinus angustifolius (taxid 3871)	0	0	0	0.0432010297205158	0.0760756099848231	0.079440139156156	0	0	0	0.266018189662562	0.352657722336236	0.61591942553336	gene_105684	5888.CAK93665	1.75e-243	689.0	COG0443@1|root,KOG0101@2759|Eukaryota,3ZB2Q@5878|Ciliophora	5878|Ciliophora	O	Belongs to the heat shock protein 70 family	-	-	-	ko:K03283	ko03040,ko04010,ko04141,ko04144,ko04213,ko04612,ko04915,ko05134,ko05145,ko05162,ko05164,ko05169,map03040,map04010,map04141,map04144,map04213,map04612,map04915,map05134,map05145,map05162,map05164,map05169	M00353,M00355	-	-	ko00000,ko00001,ko00002,ko01009,ko03009,ko03029,ko03041,ko03051,ko03110,ko04131,ko04147,ko04516	1.A.33.1	-	-	-
gene_105892	49.0510550409847	-5.87960421697349	8.73626648675321e-07	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Fagales	f__Betulaceae	g__Corylus	s__Corylus	Corylus avellana (taxid 13451)	0	0	0	0.379070307027416	0.482229389036745	0.599001878927887	0.0395280741313243	0.125741838330679	0.0398232390138766	0.831695950085574	1.61447928375895	1.53244591927124	gene_105892	35128.Thaps39299	2.83e-123	351.0	COG1100@1|root,KOG0070@2759|Eukaryota,2XAK8@2836|Bacillariophyta	2836|Bacillariophyta	U	Belongs to the small GTPase superfamily. Arf family	-	-	-	ko:K07937	ko04072,ko04144,ko05110,ko05134,map04072,map04144,map05110,map05134	-	-	-	ko00000,ko00001,ko04031,ko04131,ko04147	-	-	-	-
gene_10645	77.9805340187237	-6.22182446882787	2.07128978709185e-07	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Lolium	s__Lolium	Lolium rigidum (taxid 89674)	0.109895057010039	0	0.0548754238583623	0.493488685653585	0.178260009195207	0.189793635630997	0.0657534310069144	0.174305593198778	0.0662444264365448	3.91990030320781	4.40972861348644	3.6028196496918	gene_10645	41875.XP_007509432.1	3.95e-65	198.0	COG2036@1|root,KOG3467@2759|Eukaryota,37UE8@33090|Viridiplantae,34I42@3041|Chlorophyta	3041|Chlorophyta	B	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling	-	-	-	ko:K11254	ko05034,ko05203,ko05322,map05034,map05203,map05322	-	-	-	ko00000,ko00001,ko03036	-	-	-	-
gene_106628	20.7897670524636	-8.26638166896414	2.34838416112033e-11	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Solanales	f__Solanaceae	g__Nicotiana	s__Nicotiana	Nicotiana attenuata (taxid 49451)	0	0	0	0.361836035730209	0.282320420654338	0.313111327817635	0	0	0	0.208677881602327	0.560115141623712	0.574187520073475	gene_106628	1237149.C900_01062	2.14e-101	298.0	COG0522@1|root,COG0522@2|Bacteria,4NEMZ@976|Bacteroidetes,47K3X@768503|Cytophagia	976|Bacteroidetes	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit	rpsD	GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006417,GO:0006450,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0015935,GO:0019222,GO:0019843,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032268,GO:0032270,GO:0032991,GO:0034248,GO:0034250,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0045727,GO:0045903,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0060255,GO:0065007,GO:0065008,GO:0080090,GO:0097159,GO:1901363,GO:1990904,GO:2000112	-	ko:K02986	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	-
gene_107365	45.6722509488863	-9.41936429653314	3.02792098798468e-09	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Lamiales	f__Lamiaceae	g__Salvia	s__Salvia	Salvia miltiorrhiza (taxid 226208)	0	0	0	0.201050946007016	0.059420003065069	0.189793635630997	0	0	0	2.08622144988651	0.795740501681763	2.22060582182262	gene_107365	3067.XP_002955682.1	7.21e-67	211.0	COG4451@1|root,2QTPB@2759|Eukaryota,37K4F@33090|Viridiplantae,34KER@3041|Chlorophyta	3041|Chlorophyta	E	RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same active site	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0009507,GO:0009536,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464	4.1.1.39	ko:K01602	ko00630,ko00710,ko01100,ko01120,ko01200,map00630,map00710,map01100,map01120,map01200	M00165,M00166,M00532	R00024,R03140	RC00172,RC00859	ko00000,ko00001,ko00002,ko01000	-	-	iRC1080.CRv4_Au5_s2_g9202_t1	-
gene_10764	21.0637729725663	-8.29654526176402	3.11748630539779e-06	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Fabales	f__Fabaceae	g__Vicia	s__Vicia	Vicia villosa (taxid 3911)	0	0	0	0.0286559594126035	0	0.0743914752724512	0	0	0	0.172150513717162	0.372545176247995	0.266445370888366	gene_10764	70448.Q0P3H6	2.28e-231	643.0	COG0649@1|root,KOG2870@2759|Eukaryota,37S7T@33090|Viridiplantae,34JA3@3041|Chlorophyta	3041|Chlorophyta	C	Belongs to the complex I 49 kDa subunit family	-	-	1.6.5.3,1.6.99.3	ko:K03935	ko00190,ko01100,ko04714,ko04723,ko04932,ko05010,ko05012,ko05016,map00190,map01100,map04714,map04723,map04932,map05010,map05012,map05016	M00143	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1.6	-	-	-
gene_108006	26.4942024869942	-5.98367807127197	2.74242101295073e-05	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Nymphaeales	f__Nymphaeaceae	g__Nymphaea	s__Nymphaea	Nymphaea colorata (taxid 210225)	0	0	0	0.151663189444364	0.41088299991803	0.196860419936407	0	0.0964243707057069	0	1.02044964088514	0.275123045794227	0.902512830753786	gene_108006	5911.EAS02179	3.66e-130	379.0	COG5023@1|root,KOG1376@2759|Eukaryota,3ZAM3@5878|Ciliophora	5878|Ciliophora	Z	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain	-	-	-	ko:K07374	ko04145,ko04210,ko04530,ko04540,ko05130,map04145,map04210,map04530,map04540,map05130	-	-	-	ko00000,ko00001,ko03019,ko03036,ko04147,ko04812	-	-	-	-
gene_10997	33.7084149725107	-8.97681760922801	4.38007423300031e-09	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Zingiberales	f__Musaceae	g__Musa	s__Musa	Musa acuminata AAA Group (taxid 214697)	0	0	0	0.166689511598544	0.0475360024520552	0.0379587271261995	0	0	0	0.516504510540323	0.594152907922383	0.511192523880798	gene_10997	344747.PM8797T_01694	7.14e-161	461.0	COG0332@1|root,COG0332@2|Bacteria,2IXBG@203682|Planctomycetes	203682|Planctomycetes	I	Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids	fabH	-	2.3.1.180	ko:K00648	ko00061,ko01100,ko01212,map00061,map01100,map01212	M00082,M00083	R10707	RC00004,RC02729,RC02888	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	-
gene_110358	16.2421409619601	-7.903341912065	2.65716143583464e-12	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Zingiberales	f__Musaceae	g__Musa	s__Musa	Musa acuminata AAA Group (taxid 214697)	0	0	0	0.499492197644504	0.654053756365869	0.450240376496891	0	0	0	0.350081263661324	0.578896374702791	0.361224721798048	gene_110358	3067.XP_002948170.1	5.31e-31	121.0	COG0158@1|root,KOG1458@2759|Eukaryota,37JJU@33090|Viridiplantae,34HBA@3041|Chlorophyta	3041|Chlorophyta	G	Belongs to the FBPase class 1 family	-	-	3.1.3.11	ko:K03841	ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko04152,ko04910,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map04152,map04910	M00003,M00165,M00167,M00344	R00762,R04780	RC00017	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	-
gene_110475	15.6101628346308	-7.84897100898379	2.09352252488212e-08	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Poales	f__Poaceae	g__Miscanthus	s__Miscanthus	Miscanthus floridulus (taxid 154761)	0	0	0	0.0773225209912961	0.0942663099472959	0.100365447994697	0	0	0	0.0929029213009229	0.362354149353391	0.275597844645436	gene_110475	1828.JOKB01000066_gene4681	6.89e-143	414.0	COG1960@1|root,COG1960@2|Bacteria,2GIX8@201174|Actinobacteria,4FXI1@85025|Nocardiaceae	201174|Actinobacteria	I	acyl-CoA dehydrogenase	gcdH	-	1.3.8.6	ko:K00252	ko00071,ko00310,ko00362,ko00380,ko01100,ko01120,ko01130,map00071,map00310,map00362,map00380,map01100,map01120,map01130	M00032	R02487,R02488,R10074	RC00052,RC00156	ko00000,ko00001,ko00002,ko01000	-	-	-	-
gene_110605	135.016838257082	-10.9849639990612	1.61336159321133e-24	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Lamiales	NA	NA	NA	Lamiales (taxid 4143)	0	0	0	1.04878807536883	1.07604223732379	0.590085667143646	0	0	0	0.565375994840057	0.511202988959193	1.05798065870881	gene_110605	55529.EKX54357	0.0	924.0	COG0326@1|root,KOG0019@2759|Eukaryota	2759|Eukaryota	O	unfolded protein binding	HSP90	-	-	ko:K04079	ko04141,ko04151,ko04217,ko04612,ko04621,ko04626,ko04657,ko04659,ko04914,ko04915,ko05200,ko05215,ko05418,map04141,map04151,map04217,map04612,map04621,map04626,map04657,map04659,map04914,map04915,map05200,map05215,map05418	-	-	-	ko00000,ko00001,ko01009,ko03029,ko03051,ko03110,ko04131,ko04147	-	-	-	-
gene_111154	106.114395622901	-10.6383059315365	3.67812785053761e-10	d__Eukaryota	k__Viridiplantae	p__Streptophyta	c__Magnoliopsida	o__Malvales	f__Malvaceae	g__Gossypium	s__Gossypium	Gossypium arboreum (taxid 29729)	0	0	0	0.044137274946657	0.0127547581398703	0.0203700083649367	0	0	0	0.537379642819064	0.437698335806378	0.897390208907402	gene_111154	366602.Caul_3289	2.69e-70	259.0	COG1629@1|root,COG4771@2|Bacteria,1MU9K@1224|Proteobacteria,2TS65@28211|Alphaproteobacteria,2KEZ7@204458|Caulobacterales	204458|Caulobacterales	P	TonB dependent receptor	-	-	-	ko:K02014	-	-	-	-	ko00000,ko02000	1.B.14	-	-	-
